artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Cora Zea,2IbOMyObpd2vXMQSNrV3kP,Land Of Eternal Spring,0.977,0.351,218334,0.129,0.882,6,0.108,-19.656,1,0.0337,186.125,3,0.244,56
LAY,1iYGlI05Te7LjB8hNq7KVc,催眠術,0.0405,0.6890000000000001,186601,0.71,0.0,0,0.0955,-5.251,0,0.246,135.95,4,0.659,35
Caspar Babypants,18hTc6xUS2Z4EYBUcFRO0i,Go Slow Sluggy,0.97,0.515,209987,0.155,0.00502,2,0.0916,-15.055,1,0.0332,100.713,4,0.218,31
Johann Sebastian Bach,7l11sKfSLq7Z6nYlHDP6Gn,"""Vergnügte Ruh, beliebte Seelenlust"" Cantata, BWV 170: 3. ""Wie jammern mich doch die verkehrten Herzen""",0.99,0.1939999999999999,446107,0.108,0.00203,6,0.105,-16.570999999999998,0,0.0455,71.78399999999999,4,0.0877,16
Sarah Geronimo,1oSVA4CX6VZmIm7E8trqaF,Baka Sakali,0.427,0.381,227733,0.72,2.07e-05,5,0.287,-4.843,1,0.0892,89.991,4,0.648,37
Azusena,0YonFPUKT2uZeLVqahT3cK,Shiva - Deafkulture Remix,0.366,0.629,247458,0.503,0.0004799999999999,1,0.1939999999999999,-10.454,0,0.203,80.003,4,0.241,24
Samuel,6m3YjFk87khBbhGK7awpSi,Winter Night,0.59,0.713,223542,0.509,0.0,10,0.109,-3.951,1,0.0282,88.96600000000001,4,0.44,37
The Ugly Kings,6P5gjBTJZU057oxPNjPbR4,Promised Land,0.0106,0.435,292874,0.8540000000000001,0.000384,5,0.132,-6.744,1,0.0839,115.684,4,0.315,30
Nick Mulvey,4f25p7B3SRzh9Yep7o3w6G,Moment Of Surrender,0.57,0.61,299180,0.662,0.0084599999999999,2,0.13,-9.182,1,0.0402,104.122,4,0.527,57
The Chainsmokers,1Pz3QmQFBFuI60rxCQBeW6,Kills You Slowly,0.0518,0.696,213333,0.429,0.0,1,0.128,-8.736,0,0.0554,149.967,4,0.242,83
Daddy Yankee,7lEhOiFtcLXY4P7cuTKuQ8,Zum Zum,0.0622,0.8390000000000001,235773,0.8320000000000001,4.59e-06,0,0.282,-2.492,1,0.0531,92.004,4,0.529,73
Estelle,78mdm1UV3fsf5ZSYoZiepa,So Easy (feat. Luke James),0.178,0.5479999999999999,239324,0.8,0.0,11,0.175,-4.675,0,0.1119999999999999,178.072,4,0.698,37
Hozier,5MJjkC3m1nAJV3BdJqL1IZ,Movement - Maya Jane Coles Remix,0.314,0.833,277640,0.56,0.436,6,0.0947,-8.161,0,0.0375,126.005,4,0.735,57
Boosie Badazz,2Ek4AXaxyKSeFEMXcIdMBg,Rap Star Heaven,0.441,0.698,196500,0.5329999999999999,0.0,9,0.301,-8.945,0,0.145,165.988,4,0.774,26
Cassette Tapes,5iPZkpzasvhgnq6iqG5mol,Another You,0.772,0.585,157714,0.3929999999999999,0.0,1,0.637,-9.985,0,0.429,71.038,4,0.6509999999999999,50
Andrew Applepie,5VZkevc47YGROJXzJ9Gt1d,Room Of Lights,0.551,0.6890000000000001,200859,0.5770000000000001,0.0392,0,0.0563,-8.572000000000001,0,0.123,127.946,4,0.687,23
